bookingStatus,status1Day,status2Days,status1Week,status1Month
86,0,56,63,77
46,0,6,15,25
52,0,7,14,21
0,0,0,0,0
56,0,35,41,44
94,0,0,0,0
9,0,0,0,3
204,0,0,0,30
4,0,0,0,0
5,0,0,0,0
66,0,16,27,37
0,0,0,0,0
5,0,0,0,2
4,0,2,3,3
19,0,0,0,5
13,0,0,0,2
40,0,0,0,5
47,0,36,38,40
25,0,0,0,0
28,0,0,0,0
220,0,0,0,72
150,0,0,0,0
10,0,0,1,3
69,0,0,0,0
76,0,44,46,55
64,0,0,0,13
77,0,0,0,24
23,0,0,1,7
26,0,14,18,20
30,0,0,0,6
160,0,28,40,104
92,0,37,43,46
110,0,2,10,28
134,0,16,16,48
72,0,0,0,18
279,0,14,24,81
0,0,0,0,0
129,0,56,59,98
55,0,0,0,0
25,0,1,4,8
73,0,0,0,30
87,0,0,21,46
73,0,0,0,6
67,0,0,0,0
0,0,0,0,0
76,0,17,37,52
49,0,0,0,0
0,0,0,0,0
45,0,0,0,7
52,0,0,0,0
7,0,0,0,3
35,0,0,0,0
74,0,9,19,29
64,0,0,1,26
2,0,0,0,0
7,0,0,0,1
0,0,0,0,0
0,0,0,0,0
44,0,0,0,16
30,0,0,0,1
45,0,24,24,36
3,0,0,0,0
8,0,0,0,0
64,0,0,7,40
24,0,0,0,2
55,0,0,0,11
47,0,0,0,0
110,0,1,10,42
27,0,14,16,21
50,0,6,8,16
57,0,0,0,14
58,0,0,0,0
67,0,0,0,0
109,0,9,18,73
11,0,0,0,0
33,0,0,0,0
76,0,0,0,33
18,0,0,0,0
8,0,1,1,4
38,8,19,19,23
13,0,0,0,7
0,0,0,0,0
30,0,0,0,10
22,0,12,13,13
53,0,0,0,5
21,0,9,9,9
0,0,0,0,0
35,0,29,30,30
14,0,0,0,0
31,0,2,3,8
0,0,0,0,0
0,0,0,0,0
49,0,0,6,9
0,0,0,0,0
6,0,0,0,0
55,0,0,0,0
207,0,0,0,0
46,0,0,0,8
12,0,0,0,5
0,0,0,0,0
80,0,0,0,27
31,0,0,8,13
42,0,0,0,17
0,0,0,0,0
25,0,0,0,0
44,0,11,18,32
0,0,0,0,0
167,0,0,0,36
7,0,0,0,0
0,0,0,0,0
13,4,5,6,7
68,0,0,0,0
32,24,26,28,30
44,14,25,27,29
11,0,5,5,6
212,24,45,68,124
39,0,0,0,0
76,0,0,1,6
38,0,15,25,28
31,0,0,0,3
0,0,0,0,0
115,0,0,0,0
129,0,0,0,0
9,0,0,1,1
32,0,0,0,0
105,0,0,1,12
29,0,0,0,0
25,0,0,0,7
156,0,0,0,37
44,0,13,16,23
140,0,0,11,38
154,0,0,15,35
52,0,26,31,33
43,15,15,27,30
70,0,0,0,22
176,17,30,36,101
91,0,0,0,32
105,0,0,9,47
107,0,2,11,49
3,1,1,1,1
82,20,36,43,49
22,0,0,3,6
93,0,0,33,36
316,53,177,201,204
9,0,0,0,0
14,1,2,3,4
164,45,65,71,85
26,9,12,12,18
32,0,0,0,0
18,2,11,12,14
1,1,1,1,1
3,0,0,0,0
87,2,2,3,28
46,0,0,0,0
4,3,3,3,3
51,0,0,0,17
85,0,12,31,50
18,0,0,0,0
3,0,3,3,3
34,0,0,0,8
49,0,0,0,7
213,0,3,8,51
224,0,14,35,62
151,3,12,36,63
110,0,7,29,49
95,0,0,0,0
47,0,0,0,11
31,0,0,0,0
64,6,11,13,26
218,35,53,69,110
170,0,30,54,65
226,0,17,21,64
10,4,5,7,10
159,39,58,95,126
26,1,1,3,17
58,5,21,25,32
0,0,0,0,0
87,43,61,67,76
63,6,13,24,32
86,0,0,0,0
3,2,2,2,2
0,0,0,0,0
91,0,0,0,0
22,0,19,19,22
42,0,16,16,24
136,10,20,32,77
141,13,23,37,82
3,0,0,0,0
15,0,0,0,0
0,0,0,0,0
65,0,0,4,11
275,0,12,18,74
36,0,2,9,28
13,5,9,9,9
0,0,0,0,0
15,0,0,1,3
67,0,0,4,29
62,0,0,0,33
34,0,0,0,11
138,0,0,0,49
27,0,0,0,20
59,0,0,0,0
0,0,0,0,0
39,0,0,0,0
0,0,0,0,0
44,0,9,19,25
0,0,0,0,0
83,0,0,9,42
125,0,12,15,20
41,0,0,2,16
18,0,11,11,11
40,12,19,32,35
38,10,17,30,33
4,2,2,4,4
94,0,0,0,11
176,21,21,43,77
68,7,8,10,16
160,0,0,0,69
18,1,1,4,6
4,0,0,0,0
11,0,0,7,7
18,0,0,0,0
5,0,0,0,0
211,31,108,122,167
33,4,6,6,8
0,0,0,0,0
42,0,0,0,7
48,0,0,2,37
10,6,7,7,10
63,0,0,0,0
